,doch,jedoch,aber,andererseits,allerdings,hingegen
,48,62,140,5,15,3
"""",1,0,1,0,0,0
"""but",1,0,0,0,0,0
"""deeds",0,0,1,0,0,0
"""european",1,1,0,0,0,0
"""freedom'",0,0,0,1,0,0
"""health""",0,0,1,0,0,0
"""least",0,0,1,0,0,0
"""no""",0,0,1,0,0,0
"""opt-out""",0,1,0,0,0,0
"""over-colonisation""",0,0,1,0,0,0
"""resignation'",0,1,0,0,0,0
"""terms",0,0,1,0,0,0
"""the",0,0,1,0,0,0
"""typical",1,0,0,0,0,0
"""we",0,0,1,0,0,0
"""why",1,0,0,0,0,0
"""yes",0,0,3,0,0,0
"""yes""",1,0,0,0,0,0
%,3,3,7,0,0,0
%),0,0,1,0,0,0
',5,2,7,0,0,0
'a,1,0,0,0,0,0
'acquis',1,0,0,0,0,0
'ass',0,0,1,0,0,0
'at,0,0,0,0,1,0
'bees,1,0,0,0,0,0
'bridging,1,0,0,0,0,0
'bring,0,0,1,0,0,0
'but,1,0,1,0,0,0
'but',0,0,4,0,0,0
'buts',0,0,1,0,0,0
'by,0,0,1,0,0,0
'catch,0,0,1,0,0,0
'co-financing',0,0,1,0,0,0
'coalition,1,0,0,0,0,0
'common,0,1,0,0,0,0
'convenient',0,0,1,0,0,0
'corporate,0,1,0,0,0,0
'deintegration',0,0,1,0,0,0
'deputise',0,0,1,0,0,0
'disturbing,0,0,0,0,1,0
'dynamic,0,0,1,0,0,0
'europe,0,0,1,0,0,0
'everything,1,0,0,0,0,0
'fast-track,0,0,1,0,0,0
'flexibility',1,0,0,0,0,0
'forget,0,0,1,0,0,0
'free,0,0,1,0,0,0
'germinal,0,1,0,0,0,0
'go,1,0,1,0,0,0
'guardians',0,1,0,0,0,0
'how',0,0,1,0,0,0
'humanitarian',0,1,0,0,0,0
'immigration',0,0,1,0,0,0
'in,0,0,1,0,1,0
'institutional,0,1,0,0,0,0
'intention',0,0,1,0,0,0
'it,0,0,1,0,0,0
'last,1,0,0,0,0,0
'made,0,0,1,0,0,0
'member,0,0,1,0,0,0
'minorities',0,0,1,0,0,0
'no',0,1,1,0,2,0
'of,0,0,1,0,0,0
'oh,0,0,1,0,0,0
'ollenhauer',1,0,0,0,0,0
'one,0,1,0,0,0,0
'payer,0,0,1,0,0,0
'please,0,0,1,0,0,0
'prestige',0,0,0,0,0,1
'prevention,1,0,0,0,0,0
'prohibition,0,0,1,0,0,0
'red,0,1,0,0,0,0
'reverse,0,0,0,0,1,0
'sauce,0,0,1,0,0,0
'senegal',0,0,0,0,1,0
'serious,0,0,1,0,0,0
'small,0,0,1,0,0,0
'some,1,0,0,0,0,0
'sustainable,1,0,0,0,0,0
'sweeten,0,1,0,0,0,0
'terrorist',0,0,1,0,0,0
'the,0,0,3,0,1,0
'this,1,0,0,0,0,0
'throughout,0,0,1,0,0,0
'tiger,0,1,0,0,0,0
'tough,0,0,1,0,0,0
'undignified',0,1,0,0,0,0
'universal,0,0,1,0,0,0
'vote',0,0,0,0,1,0
'we,1,0,1,0,0,0
'what,0,0,1,0,0,0
'yes,0,0,2,0,0,0
'yes',0,0,5,0,0,0
(,0,1,0,0,0,0
(6049,0,0,0,1,0,0
(a6-0245,0,0,1,0,0,0
(already,0,0,1,0,0,0
(although,1,0,0,0,0,0
(and,0,0,1,0,0,0
(article,0,0,0,1,0,0
(by,0,0,1,0,0,0
(christian,0,1,2,0,0,0
(control,0,0,1,0,0,0
(cras),0,1,0,0,0,0
(dci),0,0,2,0,0,0
(ecb),0,0,1,0,0,0
(eldr,0,0,1,0,0,0
(gender,0,0,0,1,0,0
(iata),0,0,1,0,0,0
(inappropriateness,0,1,0,0,0,0
(including,1,0,0,0,0,0
(karlsbad,0,0,1,0,0,0
(less,0,1,0,0,0,0
(mixed,1,0,3,0,0,0
(multimedia,0,1,0,0,0,0
(not,0,0,1,0,0,0
(pt),0,0,0,1,0,0
(safta),0,1,0,0,0,0
(see,0,0,1,0,0,0
(sme),0,0,1,0,0,0
(soya,0,0,1,0,0,0
(strengthening,0,1,0,0,0,0
(the,0,0,2,0,0,0
(three,1,0,0,0,0,0
(ukip),0,0,1,0,0,0
(while,0,1,0,0,0,0
(within,0,0,1,0,0,0
),0,0,1,0,0,0
+,0,1,0,0,0,0
-,82,70,276,5,36,4
-but,0,0,1,0,0,0
-type,1,0,0,0,0,0
0,0,2,2,0,0,0
0%,0,0,0,1,0,0
00,0,0,2,0,0,0
00%,0,0,1,0,0,0
000,3,3,6,1,0,0
1,7,4,4,2,1,0
1%,0,0,2,0,0,0
1-12,0,1,0,0,0,0
10,0,1,4,0,1,0
10%,2,0,4,0,0,0
100,0,1,3,0,1,0
100%,1,0,0,0,0,0
100c,0,0,1,0,0,0
102,1,0,0,0,0,0
11,3,4,2,1,1,0
11%,0,0,1,0,0,0
110,0,0,1,0,0,0
110(1),0,0,1,0,0,0
111,0,1,0,0,0,0
115,0,0,1,0,0,0
116,0,0,1,0,0,0
12,1,2,0,0,0,0
12%,0,1,0,0,0,0
12(1),0,1,0,0,0,0
12-day,0,0,1,0,0,0
120,0,0,1,0,0,0
121,0,0,1,0,0,0
13,2,1,2,0,0,0
14,0,2,3,0,1,0
140,0,0,1,0,0,0
1408,0,0,1,0,0,0
145th,0,0,1,0,0,0
15,4,3,5,1,0,1
15%,1,0,0,0,0,0
150,0,0,2,0,0,0
1500,1,0,0,0,0,0
16,2,1,0,0,0,0
169,1,0,1,0,0,0
17,3,0,7,0,2,0
17%,0,0,1,0,0,0
1732,0,0,0,0,0,1
175,1,0,0,0,0,0
18,1,1,0,0,0,0
1807,1,0,0,0,0,0
1864,1,0,0,0,0,0
1871,1,0,0,0,0,0
19,1,1,1,0,0,1
19%,0,0,1,0,0,0
1948,0,0,1,0,0,0
1952,0,0,1,0,0,0
1954,1,0,0,0,0,0
1959,1,0,0,0,0,0
1960s,0,0,1,0,0,0
1977,1,0,0,0,0,0
